date,code,score,pool_rank,w,my_ma50_gap,my_struct_gap,my_dd_from_high_21,my_atr_pct
2019-05-15,US.AAPL,1.0,1.0,1.0,-0.016694446979381383,-0.04911714674759329,-0.09489858060447531,0.03354476799326891
2019-06-07,US.AAPL,1.0,1.0,1.0,-0.018350134881254254,-0.007649224298514782,-0.04901225428132672,0.02539994741286319
2019-06-10,US.AAPL,1.0,1.0,1.0,-0.006275578110091828,0.013664451133102619,-0.02332893803494407,0.023782732224024772
2019-06-14,US.AAPL,1.0,1.0,1.0,-0.006299707984952052,0.04811663380614266,-0.010625737905692212,0.022130516314678203
2019-06-25,US.AAPL,1.0,1.0,1.0,0.008581449562993226,0.04304596819785918,-0.019502657172589144,0.01878980123927694
2019-07-08,US.AAPL,1.0,1.0,1.0,0.03294422272444675,0.02257024297757448,-0.02147644440944363,0.01734547973415798
2019-07-09,US.AAPL,1.0,1.0,1.0,0.03948893853228541,0.019973663289265205,-0.015508047556264226,0.01592703807560176
2019-07-11,US.AAPL,1.0,1.0,1.0,0.04198823540149732,0.013821561336047223,-0.01301306199437835,0.015837210123698094
2019-07-19,US.AAPL,1.0,1.0,1.0,0.048088205132492234,0.012606742684039947,-0.014927550332633932,0.014767228674946984
2019-08-01,US.AAPL,1.0,1.0,1.0,0.05985379783261169,0.018274720530400343,-0.02163912881379282,0.01947484938296452
2019-08-02,US.AAPL,1.0,1.0,1.0,0.03519311562373839,0.015074502501679547,-0.042339466774467316,0.021376755778030027
2019-08-05,US.AAPL,1.0,1.0,1.0,-0.020356956104994217,0.0007318713145418488,-0.09247089749036852,0.025819799316132125
2019-08-06,US.AAPL,1.0,1.0,1.0,-0.003632442526482982,-0.010164974619236093,-0.07529102515523567,0.026393582304086807
2019-08-07,US.AAPL,1.0,1.0,1.0,0.0045706348874312575,-0.023075763666068706,-0.06571535861840971,0.0272750272719816
2019-08-08,US.AAPL,1.0,1.0,1.0,0.02403458450470275,-0.027906405152392927,-0.045108899748938946,0.026809327179748956
2019-08-09,US.AAPL,1.0,1.0,1.0,0.013203711034848187,-0.030001695538503546,-0.052977585881653466,0.02662252498944997
2019-08-12,US.AAPL,1.0,1.0,1.0,0.007983103586739704,-0.021239105805037208,-0.05538059812923146,0.02712420724705997
2019-08-13,US.AAPL,1.0,1.0,1.0,0.04684559183700987,-0.009461099793055946,-0.015377511928264975,0.029333516579685703
2019-08-14,US.AAPL,1.0,1.0,1.0,0.013271021964812002,-0.005390353426390147,-0.04468483773353438,0.031601250660838805
2019-08-15,US.AAPL,1.0,1.0,1.0,0.0062228827734231995,-0.005550788945587366,-0.04944374434918486,0.03274030491293541
2019-08-16,US.AAPL,1.0,1.0,1.0,0.02771096441633314,-0.0012186789298095798,-0.027015630051550943,0.0328610807115963
2019-08-23,US.AAPL,1.0,1.0,1.0,-8.141766595159972e-05,0.0232215495699084,-0.04702784048245012,0.027459247380498267
2019-08-26,US.AAPL,1.0,1.0,1.0,0.017462319286807748,0.019630161047806568,-0.028922121880044616,0.026892232261174497
2019-08-27,US.AAPL,1.0,1.0,1.0,0.00489171809044997,0.014718453335931539,-0.039879608715003734,0.02695484107488766
2019-08-28,US.AAPL,1.0,1.0,1.0,0.010855687130337577,0.009332460897969885,-0.03343679457733728,0.02605472958379193
2019-08-29,US.AAPL,1.0,1.0,1.0,0.02677055529535033,0.0055483202056359855,-0.01707110608395579,0.02573027948106686
2019-08-30,US.AAPL,1.0,1.0,1.0,0.024434133331282304,0.010084520146879942,-0.01834085778619532,0.025882779671678832
2019-09-03,US.AAPL,1.0,1.0,1.0,0.008755042632334398,0.006283190572271218,-0.03263732128188268,0.02378595735752271
2019-09-04,US.AAPL,1.0,1.0,1.0,0.024728132448039064,0.007895545653551864,-0.016224604955663913,0.02250029023487817
2019-09-13,US.AAPL,1.0,1.0,1.0,0.058448808811506714,0.03624571428786383,-0.021646764171033173,0.019942857145095867
2019-09-16,US.AAPL,1.0,1.0,1.0,0.06232282297935998,0.038220782177384574,-0.01650342144271133,0.01919541350210947
2019-09-17,US.AAPL,1.0,1.0,1.0,0.06398382241673906,0.039362256460204935,-0.012925443898248345,0.018051330185005716
2019-09-19,US.AAPL,1.0,1.0,1.0,0.061064079551290895,0.03195940442144348,-0.011762601197696121,0.018227280956633934
2019-09-20,US.AAPL,1.0,1.0,1.0,0.04387477761272063,0.030286363848259217,-0.026208685549078736,0.019100327404556024
2019-09-23,US.AAPL,1.0,1.0,1.0,0.04699586893331342,0.02539433979729283,-0.021780938325921095,0.018252952241657704
2019-09-24,US.AAPL,1.0,1.0,1.0,0.04069763267288784,0.0201706633609022,-0.02643230914677286,0.01883892476624366
2019-09-25,US.AAPL,1.0,1.0,1.0,0.05496800110596389,0.014474279510638285,-0.011449528157195799,0.018417603300166133
2019-09-26,US.AAPL,1.0,1.0,1.0,0.04779547658820804,0.010310837236981757,-0.016548146173435807,0.01860729065941936
2019-09-27,US.AAPL,1.0,1.0,1.0,0.041313593518166325,0.009115940040875474,-0.021333691149175604,0.018146160576348342
